pfam_accession,pfam_name,num_proteins
PF03989,DNA_gyraseA_C,2
PF04607,RelA_SpoT,2
PF05746,DALR_1,2
PF07517,SecA_DEAD,2
PF07650,KH_2,2
PF07973,tRNA_SAD,2
PF08032,SpoU_sub_bind,2
PF08207,EFP_N,2
PF08501,Shikimate_dh_N,2
PF09285,Elong-fact-P_C,2
PF12627,PolyA_pol_RNAbd,2
PF13328,HD_4,2
PF13662,Toprim_4,2
PF17757,UvrB_inter,2
